 "Product Name", "Sell Price" 
 "CULTIVO DE EXUDADO URETRAL", "500" 
 "CULTIVO DE HECES (COPROCULTIVO)", "500" 
 "Cultivo Micológico (Hongos)", "750" 
 "CULTIVO DE LESIÒN", "500" 
 "CULTIVO DE LIQUIDO ASCITICO", "500" 
 "CULTIVO DE LIQUIDO CEFALORRAQUIDEO", "750" 
 "CULTIVO DE LIQUIDO DE DIALISIS", "500" 
 "CULTIVO DE LIQUIDO PERITONEAL", "500" 
 "CULTIVO DE LIQUIDO PLEURAL", "500" 
 "CULTIVO DE ORINA", "500" 
 "CULTIVO DE SECRECION BRONQUIAL", "500" 
 "CULTIVO DE SECRECION NASAL (UN ORIFICIO)", "500" 
 "CULTIVO DE SECRECION OCULAR (un ojo)", "500" 
 "CULTIVO DE SECRECION OTICO (UN OIDO)", "500" 
 "CULTIVO ESPERMATICO (ESPERMOCULTIVO)", "500" 
 "PCR DE UREAPLASMA Y MYCOPLASMA", "1,400" 
 "Dehidroepiandrosterona Sulfato (DHEA-S04)", "705" 
 "Detección del Alelo HLA B-27", "1,300" 
 "DIGOXINA", "500" 
 "DIMERO D ", "1,070" 
 "ELECTROLITO SODIO", "120" 
 "ELECTROLITO CLORO", "120" 
 "ELECTROLITO POTASIO", "120" 
 "ELECTROLITO CALCIO", "120" 
 "ELECTROLITO FOSFORO", "140" 
 "ELECTROLITO MAGNESIO", "120" 
 "ESTRADIOL (E2)", "340" 
 "ESTROGENOS TOTALES", "950" 
 "FACTOR REUMATOIDE CUANTITATIVO", "300" 
 "FERRITINA", "500" 
 "FENITOINA", "790" 
 "FIBRINOGENO ", "380" 
 "FOSFATASA ACIDA (MEXICO) LUN - MIERCOL.", "850" 
 "FOSFATASA ALCALINA", "90" 
 "FROTIS EN SANGRE PERIFERICA", "400" 
 "GGT", "120" 
 "GLUCOSA", "85" 
 "GLUCOSA POSTPANDRIAL", "170" 
 "GOTA GRUESA (PLASMODIUM)", "250" 
